SPECIMEN	CC.Line	Generate	DOB	Sex	Label	Colour	WeekOld	Sample.	Resolution	Length	vBMD	Mean2	BMC	MaterProp	Dia.Dia	Med.Dia	Cort.Th	Po.V	Po.diam	Polar	Areal	MaterProp.1	BVTV	Conn.D	SMI	Tb.N3D	Tb.NPl	Tb.Th3D	Sp3D	Mean1	BVTVP	Conn.DP	SMIP	Tb.N3DP	Tb.Th3DP	Sp3DP	Mean1P	BVTVD	Conn.DD	SMID	Tb.N3DD	Tb.Th3DD	Sp3DD
CC#2126_F2_FEMUR	IL-2126	19	01/01/2013	F	A	A	10.42857143	336	150	13.7	601.3105	 1028.609	516.6724	 1028.609	1.237606147	0.783732238	0.2247	1E-04	    0.000	0.20794	0.17301	812.5862	0.0133	6.6529	2.7825	1.4646	0.2884	0.0468	0.7036	13.9569	0	1.7622	0	    0.000	0	0	27.0133	0.0187	9.3758	2.7825	1.4646	0.0468	0.7036
CC#1912_M1_FEMUR	IL-1912	20	07/01/2013	M	A	W	10	337	150	15.8	517.129	  974.832	549.8155	  974.832	1.274084492	0.862756379	0.2029	0.0005	0.0273	0.21004	0.16901	765.2911	0.1402	206.4792	2.155	4.6444	4.0099	0.0429	0.2117	116.9469	0.0579	44.4955	3.3598	3.6164	0.0361	0.2752	66.1824	0.179	274.4052	1.8041	5.3888	0.0439	0.1778
CC#1912_F1_FEMUR	IL-1912	20	07/01/2013	F	A	W	10	338	150	14.75	491.3815	  964.514	499.5988	  964.514	1.15448685	0.799223883	0.1748	0	    0.000	0.13568	0.12068	777.7997	0.1251	167.216	1.9702	3.8376	3.4716	0.0426	0.2653	95.6733	0.03	22.9719	3.2032	2.6813	0.032	0.379	33.861	0.1715	230.1382	1.7165	4.7944	0.0434	0.2043
CC#1912_F2_FEMUR	IL-1912	20	07/01/2013	F	A	W	10	339	150	14.6	501.6074	  995.466	557.3024	  995.466	1.187867639	0.821937286	0.1793	0	    0.000	0.15448	0.13319	781.7257	0.1067	143.2627	2.2993	3.521	2.9866	0.0425	0.2869	89.9212	0.0284	16.9308	3.2274	2.5853	0.0339	0.3906	37.9697	0.1451	200.3992	2.1009	4.3296	0.0433	0.2291
CC#3438_18_F1_FEMUR	IL-3438	18	07/01/2013	F	A	NAB	10	340	150	14.83	489.6467	  986.884	588.3455	  986.884	1.197294842	0.838302949	0.173	1E-04	    0.000	0.16087	0.14294	742.6479	0.0328	27.3434	3.2548	2.6813	1.0975	0.0339	0.3725	28.2002	0.0087	0	3.7464	2.3506	0.0251	0.4261	21.5351	0.0439	39.9396	3.0923	2.8468	0.0348	0.35
CC#3438_18_F2_FEMUR	IL-3438	18	07/01/2013	F	A	A	10	341	150	14.68	561.6111	 1162.192	575.3804	 1162.192	1.261974942	0.870425868	0.1907	0	    0.000	0.20004	0.1668	780.4576	0.055	64.0793	2.9938	2.8727	1.6706	0.041	0.3488	35.2321	0.0067	-1.91	3.8544	2.0319	0.0245	0.4862	-4.0794	0.0788	95.7176	2.7996	3.602	0.0417	0.277
CC#3912_F1_FEMUR	IL-3912	20	03/01/2013	F	A	W	10.57142857	342	150	15.44	678.8872	 1195.203	526.8984	 1195.203	1.183932719	0.743121427	0.2121	0	    0.000	0.16901	0.15251	862.7484	0.0912	70.3262	2.7689	3.4746	2.4727	0.0485	0.2824	84.9828	0.0355	15.3249	3.2712	2.8825	0.0393	0.3413	48.3046	0.1118	89.404	2.6263	3.7412	0.0496	0.2606
CC#3912_F2_FEMUR	IL-3912	20	03/01/2013	F	A	W	10.57142857	343	150	14.71	700.4239	 1207.241	505.3508	 1207.241	1.15598577	0.712426473	0.215	0	    0.000	0.15451	0.14017	833.0297	0.1081	104.4889	2.4995	3.8612	2.9892	0.0457	0.2574	96.7386	0.0399	20.0472	3.2454	3.0186	0.0375	0.3356	46.3296	0.1349	135.9331	2.318	4.3727	0.0466	0.2249
CC#3912_F3_FEMUR	IL-3912	20	03/01/2013	F	A	W	10.57142857	344	150	13.62	645.9709	 1199.623	498.4118	 1199.623	1.260869684	0.820021951	0.2106	0	    0.000	0.21069	0.17629	801.43	0.1057	86.2983	2.4564	3.7679	2.7947	0.0472	0.2686	91.9422	0.0292	2.3274	3.4038	3.1348	0.0337	0.3226	37.113	0.1408	123.7675	2.1425	4.1497	0.0485	0.2412
CC#3912_F4_FEMUR	IL-3912	20	03/01/2013	F	A	W	10.57142857	345	150	14.48	668.8242	 1198.024	498.5944	 1198.024	1.235103652	0.784357454	0.2213	0	0.0181	0.19913	0.17159	828.3273	0.1383	106.089	2.2953	3.8497	3.2645	0.0547	0.259	121.2848	0.0379	21.1844	2.9499	2.8681	0.0362	0.3477	40.2166	0.181	138.49	2.0578	4.489	0.0564	0.2177
CC#3912_F5_FEMUR	IL-3912	20	03/01/2013	F	A	W	10.57142857	346	150	14.82	610.5153	 1110.937	450.2037	 1110.937	1.236649	0.792512672	0.2151	0.0002	0.0222	0.19931	0.17254	816.6655	0.1417	124.602	2.2504	3.8818	3.4381	0.0533	0.2545	114.4194	0.0408	18.3004	3.1879	2.9398	0.0371	0.3394	34.4797	0.1858	168.4433	1.9557	4.4998	0.0549	0.2127
CC#188_M1_FEMUR	IL-188	29	02/01/2013	M	A	A	10.71428571	347	150	15.37	636.3781	 1141.878	497.7727	 1141.878	1.175048578	0.747213673	0.209	0	    0.000	0.16102	0.14709	812.9977	0.0642	62.5413	3.0319	3.3453	1.9733	0.0414	0.2992	46.6117	0.0163	-1.5455	3.4758	2.5848	0.0293	0.3858	9.6514	0.0843	88.8949	2.8877	3.7764	0.0424	0.2632
CC#188_M2_FEMUR	IL-188	29	02/01/2013	M	A	A	10.71428571	348	150	15.28	635.8138	 1134.073	479.9686	 1134.073	1.266577342	0.805175826	0.2293	0	    0.000	0.21594	0.17183	792.3074	0.0547	52.4396	2.4351	1.9599	1.3665	0.0484	0.53	36.4547	5e-04	0	2.7058	  100.013	0.0199	0	-4.1734	0.0797	76.5886	2.4301	2.3573	0.0485	0.4411
CC#188_M3_FEMUR	IL-188	29	02/01/2013	M	A	A	10.71428571	349	150	15.47	617.5688	 1136.048	513.1116	 1136.048	1.243963188	0.805831806	0.2112	0	    0.000	0.19738	0.16437	762.4006	0.0713	62.0701	2.1512	1.7873	1.7378	0.0485	0.5813	48.6808	6e-04	-1.6705	4.7764	1.1116	0.0339	0.8999	-3.7032	0.1029	89.8259	2.1469	2.0161	0.0485	0.516
CC#188_M4_FEMUR	IL-188	29	02/01/2013	M	A	A	10.71428571	350	150	15.04	688.7621	 1210.909	503.89	 1210.909	1.184330562	0.742658674	0.2124	0	    0.000	0.16931	0.15301	870.084	0.0976	76.3582	2.7117	3.4991	2.6024	0.0488	0.2797	91.2839	0.0383	12.732	3.1873	2.8373	0.0387	0.3442	53.7593	0.1202	98.1152	2.5478	3.7999	0.05	0.2564
CC#3348_19_F1_FEMUR	IL-3348	19	02/01/2013	F	A	NAB	10.71428571	351	150	14.58	570.7239	 1099.826	487.1815	 1099.826	1.290122835	0.866166075	0.2099	0	    0.000	0.22797	0.18432	808.3862	0.2304	181.0818	1.4625	4.6996	4.8686	0.0581	0.2006	196.3808	0.1437	115.5272	2.2311	4.0934	0.0522	0.2362	134.2946	0.271	205.7422	1.1523	5.0704	0.0593	0.1814
CC#19_M2_FEMUR	IL-519	27	20/01/2013	M	B	A	10.42857143	359	150	14.08	721.0201	 1236.395	456.4123	 1236.395	1.157724724	0.710359273	0.2175	0	    0.010	0.15611	0.1414	839.1426	0.0936	87.9026	2.6065	3.7306	2.7026	0.0439	0.2638	84.8887	0.0338	18.277	3.2503	2.9263	0.0348	0.3368	41.6273	0.1168	112.3844	2.4444	4.1759	0.045	0.2337
CC#19_M3_FEMUR	IL-519	27	20/01/2013	M	B	A	10.42857143	360	150	13.34	673.2444	 1236.771	485.7155	 1236.771	1.264816914	0.818179945	0.213	1E-04	    0.010	0.21391	0.17759	807.1668	0.081	58.9263	2.9018	3.5062	2.2594	0.0455	0.2863	75.296	0.0251	0.668	3.5226	2.9255	0.0323	0.3423	34.4797	0.1056	84.8158	2.6518	3.8466	0.0468	0.2593
CC#21_M1_FEMUR	IL-521	26	16/01/2013	M	B	W	11	361	150	13.34	652.7422	 1187.021	485.7155	 1187.021	1.330860924	0.854541442	0.2325	0	    0.000	0.28087	0.21012	790.1444	0.0519	49.4226	3.0207	3.0279	1.5777	0.0433	0.3285	35.138	0.0119	2.0463	3.5198	2.5168	0.029	0.3923	9.2752	0.0688	70.4194	2.7931	3.304	0.0444	0.3002
CC#21_M2_FEMUR	IL-521	26	16/01/2013	M	B	W	11	362	150	13.52	637.0364	 1161.910	452.6689	 1161.910	1.374150879	0.88629856	0.2416	0	    0.000	0.31406	0.22856	776.5076	0.0652	63.8697	2.7225	3.0586	1.8983	0.0441	0.3289	40.9689	0.0114	0.4479	3.6757	2.3589	0.0311	0.4254	-1.3521	0.0892	92.3	2.5112	3.5208	0.0448	0.2834
CC#21_M3_FEMUR	IL-521	26	16/01/2013	M	B	W	11	363	150	13.52	665.5326	 1166.707	471.6085	 1166.707	1.284371112	0.805049311	0.2303	0	    0.000	0.24784	0.19088	810.3644	0.0705	56.5709	2.9234	3.2428	2.0551	0.0441	0.3033	49.245	0.0173	13.2147	3.352	2.579	0.0298	0.3803	11.9085	0.0909	78.2951	2.7439	3.5252	0.0452	0.2775
CC#21_F1_FEMUR	IL-521	26	16/01/2013	F	B	W	11	364	150	13	630.2651	 1154.293	554.7457	 1154.293	1.332457661	0.859192386	0.2326	0	    0.000	0.2712	0.20098	787.9813	0.0555	39.7983	2.9647	2.8172	1.6542	0.0454	0.3574	31.1881	0.0158	6.3262	3.301	2.318	0.0313	0.4398	1.5634	0.0742	55.0544	2.7846	3.1489	0.0468	0.3156
CC#21_F2_FEMUR	IL-521	26	16/01/2013	F	B	W	11	365	150	13.11	643.4316	 1150.060	519.4116	 1150.060	1.316093593	0.836790349	0.2346	0	    0.000	0.2662	0.20197	793.1539	0.0475	30.1268	3.2244	2.6128	1.3397	0.049	0.3867	25.3572	0.0088	2.2727	3.3562	2.026	0.0284	0.4904	-2.3866	0.0643	42.7291	3.0775	2.9015	0.0502	0.3446
CC#21_F3_FEMUR	IL-521	26	16/01/2013	F	B	W	11	366	150	15	693.9347	 1203.479	491.838	 1203.479	1.285084674	0.799295569	0.2385	0	    0.000	0.23937	0.1894	794.2824	0.0491	40.1785	2.9912	2.7731	1.5651	0.0399	0.3595	41.2511	0.0236	19.8148	3.1469	2.4134	0.0336	0.409	22.5358	0.0608	49.4956	2.884	2.981	0.0409	0.3347
CC#57_F1_FEMUR	IL-557	19	23/01/2013	F	B	A	10	367	150	14.02	607.6939	 1180.626	496.3118	 1180.626	1.356943391	0.909812339	0.2146	0	    0.000	0.27663	0.21073	812.1513	0.0734	94.3199	2.7988	3.4292	1.9692	0.0463	0.2948	53.289	0.0028	-0.8509	4.0306	2.5493	0.0234	0.3883	-3.8913	0.1119	145.78	2.6276	3.9547	0.0466	0.2544
CC#57_F2_FEMUR	IL-557	19	23/01/2013	F	B	A	10	368	150	14.48	594.9036	 1166.707	503.5248	 1166.707	1.282798887	0.862188017	0.1995	0	    0.010	0.22203	0.17939	819.1107	0.0315	27.5189	3.1347	1.8062	0.8359	0.0472	0.5688	15.4823	1e-04	0	3.5722	    0.000	0.0178	0	-7.9353	0.0448	39.1844	3.1273	2.1901	0.0472	0.4638
CC#2156_21_M1_FEMUR	IL-2156	21	20/01/2013	M	A	B	10.4	369	150	14.7	643.4316	 1150.060	426.0084	 1150.060	1.316093593	0.836790349	0.2346	0	    0.000	0.2662	0.20197	795.6931	0.0523	29.9469	3.1993	2.6542	1.4351	0.0497	0.3733	29.6833	0.01	2.1726	3.3932	2.0795	0.0289	0.4713	-2.0104	0.0711	42.3103	3.0389	2.9942	0.051	0.3327
CC#2156_21_M2_FEMUR	IL-2156	21	20/01/2013	M	A	B	10.4	370	150	15.07	613.8069	 1175.265	480.6369	 1175.265	1.346421626	0.894919218	0.2204	0	    0.000	0.26655	0.20372	793.53	0.1223	166.7973	2.5753	5.0291	3.6839	0.0429	0.1955	99.466	0.0405	21.4603	3.3239	4.2031	0.0285	0.2363	37.6773	0.1596	227.4301	2.2343	5.5447	0.0446	0.1741
CC#2156_21_M3_FEMUR	IL-2156	21	20/01/2013	M	A	B	10.4	371	150	14.37	622.3652	 1192.476	623.964	 1192.476	1.397942934	0.930416878	0.2269	1E-04	    0.010	0.31109	0.22781	2.5749	0.1043	109.9193	2.9502	4.515	2.9917	0.0458	0.2194	0.7103	0.0256	2.717	3.5119	3.7761	0.0267	0.2639	0.5534	0.1426	159.8881	2.5921	4.9696	0.0475	0.1961
CC#2156_21_M4_FEMUR	IL-2156	21	20/01/2013	M	A	B	10.4	372	150	14.37	599.2297	 1201.504	623.964	 1201.504	1.390202517	0.94842266	0.2129	0	    0.010	0.29287	0.21884	809.8942	0.0996	130.9429	2.8986	4.4376	3.0093	0.0428	0.2241	85.1709	0.0254	1.5783	3.5262	3.4953	0.0272	0.2859	29.1191	0.1368	194.6886	2.5686	5.1469	0.0443	0.189
CC#2391_M1_FEMUR	IL-2391	21	17/01/2013	M	A	A	10.9	373	150	14.34	650.2971	 1183.823	623.5878	 1183.823	1.258666372	0.809143069	0.2203	1E-04	0.01	0.20788	0.17123	781.1159	0.041	30.2708	2.7236	2.3519	1.113	0.0446	0.4302	28.4607	1e-04	-1.5096	3.2042	    1.738	0.0119	0.575	1.4694	0.0571	42.1847	2.6963	2.5395	0.0446	0.3983
CC#2391_M2_FEMUR	IL-2391	21	17/01/2013	M	A	A	10.9	374	150	14.34	637.5067	 1170.939	623.5878	 1170.939	1.20338345	0.776887213	0.21	0	    0.000	0.17162	0.15235	879.8648	0.0161	4.0406	3.6923	1.585	0.3735	0.0541	0.6351	2.8801	0.0014	-1.559	3.7707	1.5869	0.0298	0.628	-1.7282	0.0232	5.9771	3.4567	1.5648	0.0548	0.6491
CC#1061_F1_FEMUR	IL-1061	20	25/01/2013	F	A	A	10.3	375	150	15.04	531.7983	 1124.480	616.3462	 1124.480	1.278155283	0.890840881	0.1898	0.0003	0.0332	0.21219	0.1747	794.8467	0.0872	79.1354	2.2094	2.3389	2.2399	0.0489	0.4633	64.9508	0.0088	-2.5983	3.4441	1.3778	0.0371	0.7848	2.1277	0.1271	119.4437	2.1187	3.3051	0.0491	0.3074
CC#2573_M1_FEMUR	IL-2573	18	27/01/2013	M	A	W	10	376	150	15.04	695.1573	 1190.218	616.3462	 1190.218	1.286743165	0.793138993	0.2392	0	    0.000	0.24538	0.19776	850.7104	0.2334	187.0529	1.0678	3.7612	4.5509	0.0607	0.286	189.9388	0.0606	29.9083	2.8205	2.2857	0.0527	0.4536	55.7343	0.3114	254.6381	0.8028	5.2653	0.0614	0.1855
CC#2573_M2_FEMUR	IL-2573	18	27/01/2013	M	A	W	10	377	150	15.42	579.668	 1143.853	627.8199	 1143.853	1.123425995	0.752240554	0.1752	0	    0.000	0.13016	0.12478	763.5292	0.0626	77.89	2.3149	2.0464	1.7484	0.0425	0.504	35.8904	6e-04	-1.2305	4.1343	1.4895	0.0225	0.6508	-15.459	0.094	117.3499	2.2919	2.4891	0.0425	0.4145
CC#2573_M3_FEMUR	IL-2573	18	27/01/2013	M	A	W	10	378	150	15.42	549.1969	 1119.589	627.8199	 1119.589	1.107899417	0.755592888	0.1676	0	    0.000	0.11873	0.10956	786.1944	0.0793	117.7311	2.2462	2.3557	2.2464	0.0431	0.4375	52.7248	0.0049	-2.7626	4.1249	1.4063	0.0332	0.72	-11.6031	0.1134	171.0411	2.1786	3.6825	0.0433	0.2705
CC#3912_21_M1_FEMUR	IL-3912	21	20/01/2013	M	A		11	379	150	15.34	622.0831	 1153.916	590.5775	 1153.916	1.451307932	0.948483069	0.2479	0	    0.010	0.38707	0.27977	791.6491	0.0945	94.0339	2.7875	3.9231	2.6759	0.0458	0.2518	75.4841	0.0225	2.4698	3.6524	3.1773	0.0304	0.3141	21.6894	0.129	136.7427	2.5013	4.4349	0.047	0.219
CC#3912_21_M2_FEMUR	IL-3912	21	20/01/2013	M	A		11	380	150	14.53	629.7008	 1164.920	562.2694	 1164.920	1.300639941	0.84563719	0.2233	0	    0.000	0.24421	0.19178	785.0659	0.0847	89.1647	2.8075	3.8436	2.5375	0.0418	0.2595	69.277	0.0241	2.1207	3.6709	3.1121	0.032	0.3211	21.6894	0.1122	128.1614	2.578	4.3753	0.0428	0.2263
CC#3912_21_M3_FEMUR	IL-3912	21	20/01/2013	M	A		11	381	150	14.92	639.0115	 1157.866	589.4489	 1157.866	1.30962002	0.839031671	0.2335	0	    0.000	0.25772	0.20284	774.5327	0.0933	88.7592	2.7395	3.9644	2.659	0.0454	0.2507	76.2364	0.0216	4.2393	3.6579	3.1628	0.0295	0.3124	22.7239	0.1256	128.6164	2.4387	4.4922	0.0466	0.2192
CC#3912_21_M4_FEMUR	IL-3912	21	20/01/2013	M	A		11	382	150	14.21	703.9977	 1214.765	574.7776	 1214.765	1.365940151	0.848943174	0.2509	0	    0.000	0.30787	0.22948	812.0573	0.1251	139.3613	2.3907	4.2139	3.4587	0.0461	0.2326	99.466	0.0406	15.5937	3.3064	3.3427	0.034	0.2941	38.1475	0.1653	193.9272	2.0973	4.7943	0.0474	0.2002
CC#3912_21_M5_FEMUR	IL-3912	21	20/01/2013	M	A		11	383	150	14.35	600.3583	 1183.353	634.4031	 1183.353	1.219886955	0.821139127	0.1927	0	    0.000	0.17823	0.15177	-	0.147	175.6634	2.2427	4.7542	4.0203	0.0461	0.2045	NA	0.147	175.6634	2.2427	4.7542	0.0461	0.2045	NA	0.147	175.6634	2.2427	4.7542	0.0461	0.2045
CC#111_31_M1_FEMUR	IL-111	31	06/02/2013	M	A		10.1	398	150	13.59	659.9838	 1216.269	619.8451	 1216.269	1.576628775	1.031075566	0.2802	0	    0.000	0.52709	0.35202	875.5388	0.1856	162.8908	1.8466	4.6455	4.2742	0.0545	0.2124	158.5272	0.0735	49.7555	3.2816	3.8019	0.0458	0.2653	70.4996	0.2591	225.9394	1.2255	5.4667	0.056	0.1693
CC#111_31_M2_FEMUR	IL-111	31	06/02/2013	M	A		10.1	399	150	14.34	611.1736	 1189.090	636.8484	 1189.090	1.547204942	1.043039914	0.2508	0	    0.000	0.46954	0.32622	853.6258	0.1828	143.2605	1.791	4.6141	4.1007	0.0558	0.2156	154.2951	0.0564	27.8612	3.5656	3.6477	0.0447	0.2751	54.8878	0.2665	213.1342	1.0998	5.6054	0.0573	0.1655
CC#111_31_M3_FEMUR	IL-111	31	06/02/2013	M	A		10.1	400	150	15.04	634.7794	 1189.466	635.1555	 1189.466	1.52338292	1.003927766	0.2614	1E-04	0.0197	0.44889	0.31612	861.996	0.1864	130.3896	1.7734	4.3772	4.0385	0.0574	0.2264	158.8094	0.0535	16.6424	3.5093	3.4438	0.0434	0.2867	52.3486	0.269	191.2412	1.0955	5.3143	0.0591	0.1772
CC#1452_M1_FEMUR	IL-1452	11	06/02/2013	M	A		10.1	402	150	15.87	690.455	 1210.062	493.8975	 1210.062	1.323286192	0.830743059	0.2412	1E-04	0.0178	0.26052	0.20426	852.6854	0.1551	116.4258	1.6082	3.5057	3.3859	0.0557	0.2921	127.9621	0.0107	-2.5816	3.3062	1.8849	0.0371	0.5342	12.0966	0.2179	167.0218	1.5	4.5436	0.0561	0.2137
CC#4457_22_F3_FEMUR	IL-4457	22	04/07/2013	F	A		11.9	649	150	16.01	664.1271	 1215.233	569.1348	 1215.233	1.631407618	1.065718133	0.2759	0	    0.000	0.58146	0.38233	940.4308	0.1577	97.7209	2.2708	3.7894	3.3737	0.0643	0.2525	155.0475	0.103	63.9644	2.598	3.3768	0.0537	0.2814	114.6074	0.1829	107.0737	2.1019	4.0512	0.067	0.2367
CC#57_21_M1_FEMUR	IL-521	21	04/07/2013	M	B		12	650	150	16.01	676.8183	 1156.069	569.1348	 1156.069	1.490870307	0.923852475	0.2788	0.0006	0.032	0.4371	0.30706	840.5534	0.0885	90.4347	2.7907	3.321	2.3348	0.0506	0.3005	85.359	0.0132	0	4.3146	2.4007	0.0371	0.4125	30.1536	0.1214	129.2253	2.586	4.0294	0.0512	0.2433
CC#3480_14_F1_FEMUR	IL-3480	14	04/07/2013	F	A		13.1	652	150	14.87	507.3595	 1067.048	492.6749	 1067.048	1.340987375	0.934567741	0.2021	0	0.01	0.24308	0.18658	820.7095	0.0492	34.1605	2.2766	1.611	1.2011	0.0503	0.6343	30.0595	1e-04	-0.9644	3.4274	    1.434	0.0198	0.697	-10.0043	0.0718	49.8581	2.2601	2.1009	0.0504	0.4841
CC#3480_14_F2_FEMUR	IL-3480	14	04/07/2013	F	A		13.1	653	150	15.1	617.106	 1144.929	607.3177	 1144.929	1.270306394	0.823925438	0.2215	0	    0.000	0.2117	0.16979	845.0676	0.0091	1.3116	2.8764	0.9062	0.1954	0.05	1.288	-5.208	0	0	2.1846	    0.000	0.01	0	-5.7722	0.0127	1.833	2.8755	0.909	0.05	1.255
CC#2156_22_F1_FEMUR	IL-2156	22	18/07/2013	F	A		8.1	654	150	15.1	555.1111	 1154.425	607.3177	 1154.425	1.298964887	0.899410925	0.1932	0	    0.000	0.22162	0.17616	775.4731	0.0574	79.2993	2.8984	3.088	1.9786	0.0379	0.327	46.1415	0.0266	31.5835	2.9509	2.2389	0.0311	0.4485	23.3822	0.0724	100.625	2.8659	3.7953	0.0392	0.263
cc#4438_13_f1_femur	IL-4438	13	01/07/2013	F	A		10.6	655	150	14.63	648.2404	 1148.947	590.6714	 1148.947	1.305481543	0.823840441	0.2441	0	    0.000	0.26448	0.20993	863.8769	0.0782	51.2822	2.4215	2.6411	1.8405	0.0542	0.3809	57.9914	0.009	-1.3609	4.4164	2.1862	0.055	0.4394	5.4193	0.1085	73.6693	2.3133	2.8822	0.0542	0.3492
cc#4438_13_f2_femur	IL-4438	13	01/07/2013	F	A		10.6	656	150	13.98	621.6711	 1148.582	618.0391	 1148.582	1.364597218	0.885896226	0.2386	0	    0.000	0.30436	0.23541	870.084	0.0916	69.6088	2.3339	2.6997	2.1586	0.054	0.372	70.9698	0.014	0	4.2643	1.8142	0.0523	0.5542	6.2657	0.1261	100.0398	2.2251	3.4404	0.0541	0.2852
cc#4438_13_f3_femur	IL-4438	13	01/07/2013	F	A		10.6	657	150	13.4	600.5801	 1123.382	601.9571	 1123.382	1.354247752	0.884090658	0.235	0	    0.000	0.2945	0.23	850.7104	0.085	62.6807	2.2524	2.4017	2.1086	0.0511	0.4298	69.1829	0.0134	-1.0146	3.8421	1.4607	0.0545	0.6987	13.7895	0.119	91.3984	2.1473	3.3714	0.0509	0.2953
cc#4052_17_m1_femur	IL-4052	17	30/06/2013	M	A		10.7	658	150	14.58	525.7115	 1096.813	621.3307	 1096.813	1.644192101	1.149131062	0.2439	0	    0.010	0.57505	0.35976	864.9114	0.1744	115.2406	1.7712	3.3229	3.4569	0.0657	0.292	148.5583	0.0559	23.9236	3.0397	2.3786	0.0536	0.4103	51.0319	0.2443	164.3923	1.4086	4.3447	0.067	0.2061
cc#4052_17_m2_femur	IL-4052	17	30/06/2013	M	A		10.7	659	150	14.39	567.5283	 1146.938	676.348	 1146.938	1.591710707	1.095684642	0.2451	0	    0.000	0.51788	0.33516	893.4075	0.2192	151.1259	1.231	3.7001	4.2361	0.0636	0.2591	187.0234	0.0867	43.4729	2.5928	2.7556	0.0564	0.3486	77.459	0.2978	206.8732	0.7995	4.7089	0.0646	0.1894
cc#4052_17_m3_femur	IL-4052	17	30/06/2013	M	A		10.7	660	150	14.34	504.6204	 1131.051	591.706	 1131.051	1.681046392	1.213340824	0.2301	0	0.0186	0.60644	0.37674	877.0435	0.1962	125.1953	1.6465	3.7043	3.8942	0.0657	0.2581	167.8378	0.0955	35.1752	2.6547	2.8428	0.0643	0.345	85.359	0.2615	178.8912	1.3166	4.656	0.0655	0.1909
cc#4052_17_m4_femur	IL-4052	17	30/06/2013	M	A		10.7	661	150	14.49	563.0545	 1124.934	542.7077	 1124.934	1.705577865	1.167771588	0.2644	0.0003	0.0198	0.67481	0.41964	914.5681	0.4074	150.4305	-0.3333	4.5916	5.4318	0.0861	0.2015	356.4013	0.2643	72.8392	1.1123	3.429	0.0864	0.2815	242.9811	0.5001	195.4247	-0.8956	5.9365	0.0856	0.1298
cc#4052_17_f1_femur	IL-4052	17	30/06/2013	F	A		10.7	662	150	14.83	475.586	 1170.312	487.2202	 1170.312	1.528385312	1.141566208	0.1874	0	    0.000	0.38538	0.26601	863.971	0.0514	46.1036	2.6286	2.0978	1.4583	0.0451	0.4691	47.176	0.0127	7.4468	3.2379	1.5651	0.0391	0.6131	17.5513	0.0739	67.5506	2.4878	2.5804	0.0457	0.3879
cc#4052_17_f2_femur	IL-4052	17	30/06/2013	F	A		10.7	663	150	14.23	488.9163	 1152.782	499.1641	 1152.782	1.651116022	1.218205381	0.2172	0	    0.000	0.53655	0.33679	853.1556	0.0662	61.1745	2.4006	1.8242	1.7172	0.05	0.5689	61.0009	0.0064	3.2042	3.4219	1.1137	0.0373	0.9227	12.943	0.1049	98.2051	2.2986	2.9191	0.0504	0.3413
cc#4052_17_f3_femur	IL-4052	17	30/06/2013	F	A		10.7	664	150	14.52	484.9902	 1154.608	656.8803	 1154.608	1.514304181	1.117591068	0.1912	0	    0.000	0.38181	0.26685	888.4232	0.0426	24.3196	2.4185	1.262	1.0348	0.0522	0.7997	42.4737	0.0019	-1.5837	3.4205	1.3645	0.0406	0.7441	14.7299	0.0638	36.9896	2.3814	1.7472	0.0524	0.6222
cc#4052_17_f4_femur	IL-4052	17	30/06/2013	F	A		10.7	665	150	14.4	495.2162	 1154.242	608.9165	 1154.242	1.684118665	1.235722023	0.2198	0	    0.000	0.58712	0.35338	877.5137	0.0526	30.205	2.6431	2.0773	1.346	0.0507	0.4917	45.201	0.0067	1.2951	3.6558	1.5507	0.0437	0.6504	8.711	0.0839	49.4898	2.4923	2.7336	0.051	0.363
cc#3480_14_M1_FEMUR	IL-3480	14	18/07/2013	M	A		7.4	675	150	13.62	510.3725	 1017.927	624.5283	 1017.927	1.487261958	1.013822152	0.2319	0	0.0145	0.38231	0.25402	800.7717	0.1464	142.3585	1.8524	4.2269	3.7662	0.0485	0.2355	114.9836	0.0491	13.7733	3.6738	2.9761	0.0541	0.3425	39.7463	0.1876	194.6925	1.6488	5.1242	0.0478	0.1839
CC#2156_22_F1_FEMUR	IL-2156	22	18/07/2013	F	A		8.1	676	150	13.62	487.9119	 1125.208	624.5283	 1125.208	1.30313383	0.945121122	0.1737	0	    0.000	0.20772	0.16389	755.1591	0.0572	118.2116	2.7929	3.5456	2.2381	0.0319	0.2795	44.7308	0.0342	49.1047	2.854	2.7448	0.0304	0.3605	24.6048	0.0689	151.3068	2.787	4.1919	0.0322	0.2358
CC#2156_22_F2_FEMUR	IL-2156	22	18/07/2013	F	A		8.1	677	150	14.28	519.6854	 1111.147	514.3997	 1111.147	1.380423305	0.973582651	0.1963	0	    0.000	0.27711	0.21788	774.0624	0.0633	115.1224	2.9048	3.7977	2.3833	0.0344	0.2633	50.8438	0.0417	62.6808	2.9546	3.255	0.0307	0.3065	34.5738	0.0742	133.6656	2.8916	4.1576	0.0354	0.2394
CC#188_30_F1_FEMUR	IL-188	30	15/07/2013	F	A		8.571428571	678	150	14.71	678.0966	 1130.686	531.234	 1130.686	1.21702899	0.73445263	0.2393	0	    0.000	0.19202	0.16119	826.6345	0.052	33.2201	2.3871	1.9012	1.1569	0.0529	0.545	42.7558	0	1.7189	0	    0.000	0	0	7.3002	0.0758	48.4439	2.3871	1.9058	0.0529	0.5432
